,Restaurant,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
0,ID_6321,Pune,"Fast Food, Rolls, Burger, Salad, Wraps",200,50,3.5,12,4,30 
1,ID_2882,Bangalore,"Ice Cream, Desserts",100,50,3.5,11,4,30 
2,ID_1595,Mumbai,"Italian, Street Food, Fast Food",150,50,3.6,99,30,65 
3,ID_5929,Noida,"Mughlai, North Indian, Chinese",250,99,3.7,176,95,30 
4,ID_6123,Bangalore,"Cafe, Beverages",200,99,3.2,521,235,65 
5,ID_5221,Bangalore,"South Indian, North Indian, Chinese",150,50,3.8,46,18,30 
6,ID_3777,Mumbai,"Beverages, Fast Food",150,50,3.7,108,31,30 
7,ID_745,Delhi,"Chinese, Thai, Asian",650,50,4.0,1731,1235,45 
8,ID_2970,Delhi,"Mithai, Street Food",100,50,3.9,110,26,30 
9,ID_3474,Noida,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",200,50,3.9,562,294,65 
10,ID_5159,Mumbai,"North Indian, Chinese, Mughlai",350,50,3.8,186,61,30 
11,ID_1696,Pune,"Chinese, Thai, Indonesian, Italian",800,50,4.2,1693,1239,45 
12,ID_1156,Noida,"Burger, Fast Food, Desserts, Beverages",150,50,-,-,-,30 
13,ID_354,Delhi,Beverages,50,0,3.8,184,128,45 
14,ID_6891,Delhi,Fast Food,100,50,3.5,23,5,30 
15,ID_6406,Kolkata,"Biryani, Mughlai",100,50,3.6,353,53,30 
16,ID_2141,Noida,Italian,100,50,-,-,-,30 
17,ID_3355,Mumbai,"Chinese, North Indian, South Indian, Fast Food",200,50,3.7,139,47,30 
18,ID_5262,Pune,"Kerala, Bihari",150,50,-,-,-,30 
19,ID_8148,Kolkata,South Indian,100,50,3.7,159,46,30 
20,ID_1681,Noida,"Chinese, North Indian, Rolls, Momos",200,99,2.8,67,23,45 
21,ID_3994,Noida,"North Indian, Rolls",150,50,3.9,387,160,45 
22,ID_4012,Noida,"North Indian, Chinese",250,50,3.0,5,2,30 
23,ID_240,Noida,"Biryani, North Indian",200,99,3.7,138,26,65 
24,ID_4751,Bangalore,"North Indian, Chinese, Fast Food",150,50,3.2,4,1,30 
25,ID_4944,Bangalore,"Desserts, Ice Cream",100,50,-,-,-,45 
26,ID_7029,Noida,"North Indian, Chinese",100,99,3.7,110,38,45 
27,ID_6769,Mumbai,"Fast Food, South Indian, Street Food",150,50,3.2,15,9,45 
28,ID_5547,Mumbai,North Indian,150,50,3.3,44,19,45 
29,ID_1957,Noida,"North Indian, Chinese",200,50,3.8,18,18,30 
30,ID_425,Kolkata,North Indian,150,50,3.2,18,7,30 
31,ID_4965,Noida,"Cafe, Mexican, Japanese, Italian, Chinese",400,50,4.0,189,132,30 
32,ID_5192,Pune,"Bakery, Fast Food, Rolls, Beverages",200,50,3.1,279,74,45 
33,ID_6079,Noida,"North Indian, Chinese",350,99,3.3,22,13,45 
34,ID_3069,Gurgaon,North Indian,100,50,4.0,581,111,30 
35,ID_1160,Noida,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",600,50,4.7,914,499,45 
36,ID_4494,Pune,Street Food,100,50,3.4,23,7,30 
37,ID_2139,Kolkata,"Fast Food, South Indian",100,50,3.6,105,53,30 
38,ID_332,Delhi,"Pizza, Fast Food",200,50,3.5,305,29,45 
39,ID_1209,Kolkata,"Cafe, Desserts",300,50,3.6,54,34,30 
40,ID_5285,Mumbai,"Mughlai, North Indian",200,50,4.0,1408,851,45 
41,ID_7544,Mumbai,"Desserts, Beverages",150,50,4.1,806,513,45 
42,ID_7299,Pune,"Bakery, Desserts, Beverages",150,50,3.7,41,22,30 
43,ID_4154,Hyderabad,South Indian,100,50,3.7,100,27,45 
44,ID_3869,Kolkata,North Indian,200,50,3.6,106,32,30 
45,ID_6868,Bangalore,"North Indian, Street Food",200,50,3.8,37,25,30 
46,ID_1641,Noida,"North Indian, Chinese",200,50,3.4,45,37,30 
47,ID_2809,Bangalore,Chinese,200,50,NEW,-,-,30 
48,ID_5022,Delhi,"Chinese, Fast Food",200,99,3.5,63,8,45 
49,ID_4866,Delhi,Lucknowi,200,50,-,-,-,30 
50,ID_6857,Pune,"South Indian, North Indian",150,50,3.1,253,35,30 
51,ID_3429,Pune,"Biryani, Chinese",150,50,3.2,4,4,30 
52,ID_1521,Mumbai,"Tea, Fast Food",100,50,3.3,12,6,30 
53,ID_5090,Pune,"Fast Food, Italian, Beverages",200,50,3.9,327,173,45 
54,ID_348,Noida,"North Indian, Beverages",250,50,3.4,49,36,30 
55,ID_1443,Kolkata,Fast Food,100,50,3.3,11,1,30 
56,ID_8281,Pune,"Street Food, Fast Food, North Indian",150,50,2.9,8,5,45 
57,ID_4562,Delhi,Chinese,250,50,3.8,19,15,30 
58,ID_156,Bangalore,"Rolls, Chinese",100,50,3.7,18,6,30 
59,ID_5570,Delhi,"South Indian, Chinese, Street Food",100,50,3.1,7,2,30 
60,ID_8368,Pune,"North Indian, Mangalorean",350,50,3.5,16,8,45 
61,ID_294,Noida,"Bakery, Desserts, Fast Food",100,50,NEW,-,-,30 
62,ID_6967,Pune,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",600,50,4.6,391,174,30 
63,ID_2994,Bangalore,Bengali,200,50,3.5,32,23,30 
64,ID_6369,Noida,"Bakery, Fast Food",200,50,3.3,39,11,30 
65,ID_7768,Noida,Fast Food,150,99,3.9,116,19,30 
66,ID_134,Mumbai,Desserts,100,50,3.4,22,9,45 
67,ID_8414,Bangalore,"Desserts, Beverages, American",200,50,3.9,51,29,45 
68,ID_2216,Delhi,"Chinese, Thai",150,50,3.2,9,1,30 
69,ID_2131,Mumbai,"Chinese, Fast Food, Mughlai",300,50,3.7,128,30,45 
70,ID_8057,Bangalore,"Cafe, Continental, Fast Food",300,50,4.1,119,59,30 
71,ID_3309,Noida,"Chinese, Rolls",150,50,-,-,-,30 
72,ID_7722,Noida,"North Indian, Fast Food",200,50,3.4,26,16,30 
73,ID_3117,Kolkata,"Mishti, Fast Food, South Indian",100,50,4.0,381,89,65 
74,ID_6905,Bangalore,"South Indian, North Indian, Chinese, Beverages",350,50,4.2,441,170,30 
75,ID_3087,Kolkata,"Fast Food, Bengali",100,50,-,-,-,30 
76,ID_207,Delhi,"Mithai, Street Food",100,50,3.7,62,10,30 
77,ID_5095,Bangalore,"Beverages, Desserts",100,50,3.6,7,4,30 
78,ID_8233,Delhi,Fast Food,100,50,3.6,90,31,30 
79,ID_6205,Noida,Rolls,100,50,NEW,-,-,30 
80,ID_7753,Mumbai,"European, Continental, North Indian, Desserts",750,50,4.3,3124,1660,45 
81,ID_888,Noida,"Biryani, Mughlai, North Indian",100,50,3.5,69,37,30 
82,ID_164,Noida,"North Indian, Mughlai",150,50,3.3,-,-,30 
83,ID_2653,Noida,"North Indian, Chinese",200,50,3.9,385,71,30 
84,ID_2818,Pune,"North Indian, Chinese",150,99,2.8,96,41,45 
85,ID_7520,Noida,"North Indian, Chinese",200,50,NEW,-,-,45 
86,ID_4849,Pune,"Chinese, Pizza, Fast Food",150,50,3.7,55,20,30 
87,ID_4179,Noida,North Indian,200,50,3.3,9,5,30 
88,ID_5321,Bangalore,"Biryani, Hyderabadi, North Indian, Mughlai",100,50,2.6,-,-,30 
89,ID_2376,Hyderabad,South Indian,50,50,3.5,12,2,30 
90,ID_3147,Mumbai,"Momos, Fast Food",150,50,3.5,85,40,30 
91,ID_6452,Gurgaon,"Mithai, North Indian, South Indian, Chinese, Street Food",150,50,NEW,-,-,30 
92,ID_5076,Bangalore,"South Indian, North Indian",100,50,3.7,27,5,30 
93,ID_7738,Bangalore,"Continental, Beverages, Desserts",200,50,NEW,-,-,30 
94,ID_4942,Mumbai,"Fast Food, Ice Cream, Beverages",200,50,3.8,107,47,30 
95,ID_3468,Noida,Fast Food,100,50,3.3,13,4,30 
96,ID_3797,Delhi,Fast Food,200,50,3.3,25,16,30 
97,ID_6224,Noida,Chinese,100,50,3.5,24,1,30 
98,ID_1124,Delhi,"Burger, Fast Food",100,50,-,-,-,30 
99,ID_6637,Delhi,Mughlai,150,50,2.8,7,3,30 
100,ID_8434,Bangalore,Chinese,300,99,2.9,393,191,65 
101,ID_2962,Pune,"North Indian, Rolls, Chinese",200,50,3.9,348,105,30 
102,ID_6091,Bangalore,"Andhra, Biryani",200,50,3.4,15,7,30 
103,ID_2198,Bangalore,Street Food,100,50,4.1,260,100,65 
104,ID_4654,Pune,"Burger, Fast Food",200,50,3.9,326,106,30 
105,ID_3712,Mumbai,Street Food,100,50,3.5,18,8,30 
106,ID_1858,Mumbai,"North Indian, South Indian, Assamese, Maharashtrian, Bengali",200,50,NEW,-,-,30 
107,ID_4395,Noida,"North Indian, Lucknowi",200,50,2.8,150,89,45 
108,ID_3814,Delhi,"Fast Food, Beverages",150,50,3.7,35,21,30 
109,ID_7226,Noida,North Indian,100,50,3.0,7,1,30 
110,ID_2915,Pune,North Indian,200,50,3.3,28,9,30 
111,ID_5719,Bangalore,Pizza,200,50,3.5,87,37,45 
112,ID_1532,Noida,"Chinese, Fast Food",150,50,3.5,187,65,30 
113,ID_3539,Pune,"Desserts, Ice Cream",100,50,2.6,28,13,30 
114,ID_2677,Pune,"North Indian, Chinese, Street Food",150,50,2.8,-,-,30 
115,ID_1203,Pune,Fast Food,150,50,3.0,4,-,30 
116,ID_4645,Delhi,"North Indian, Fast Food",300,50,3.5,15,7,30 
117,ID_1210,Bangalore,"Beverages, Cafe, Sandwich, Fast Food, Desserts",250,50,3.8,118,69,45 
118,ID_7260,Bangalore,"North Indian, Mughlai",150,50,NEW,-,-,30 
119,ID_1996,Bangalore,North Indian,150,50,-,-,-,30 
120,ID_7796,Bangalore,"Street Food, Beverages",100,50,-,-,-,30 
121,ID_1324,Noida,Bakery,200,50,3.1,12,2,30 
122,ID_1885,Delhi,North Indian,300,50,4.2,-,-,45 
123,ID_2885,Pune,"German, Italian, Cafe",450,50,4.3,4691,2547,45 
124,ID_3351,Bangalore,"North Indian, South Indian, Chinese, Arabian",350,50,3.1,89,10,30 
